"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Fri Jan 28 15:16:56 2022"
"FAPP-info","Type of program","Thread (OpenMP)  48"
"FAPP-info","Virtual coordinate","-"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","0","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","0","12","packB","1","840","15091520","274942375","368534","0","0","735064","0","0","1980360","0"
"FAPP-cpupa","Thread","0","0","13","packB","1","840","15128352","275379072","670488","0","0","720380","0","0","2228456","0"
"FAPP-cpupa","Thread","0","0","14","packB","1","840","15120320","275199102","360880","0","0","718276","0","0","1935516","0"
"FAPP-cpupa","Thread","0","0","15","packB","1","840","15059200","273421333","608372","0","0","734818","0","0","2079795","0"
"FAPP-cpupa","Thread","0","0","16","packB","1","840","15154656","275283186","506701","0","0","651366","0","0","2143692","0"
"FAPP-cpupa","Thread","0","0","17","packB","1","840","15086176","274633603","416339","0","0","658110","0","0","2049025","0"
"FAPP-cpupa","Thread","0","0","18","packB","1","840","15133920","275110390","464334","0","0","652002","0","0","2125148","0"
"FAPP-cpupa","Thread","0","0","19","packB","1","840","15095520","274307404","509527","0","0","658806","0","0","2156842","0"
"FAPP-cpupa","Thread","0","0","20","packB","1","840","15084000","274080373","472142","0","0","705868","0","0","2137755","0"
"FAPP-cpupa","Thread","0","0","21","packB","1","840","15159872","274566312","413991","0","0","704580","0","0","2040849","0"
"FAPP-cpupa","Thread","0","0","22","packB","1","840","15117696","274481720","461651","0","0","709710","0","0","2105192","0"
"FAPP-cpupa","Thread","0","0","23","packB","1","840","15159744","274704528","533317","0","0","713102","0","0","2135737","0"
"FAPP-cpupa","Thread","0","0","24","packB","1","840","15114272","274414289","512385","0","0","663376","0","0","2146156","0"
"FAPP-cpupa","Thread","0","0","25","packB","1","840","15123488","274572766","484108","0","0","666510","0","0","2121148","0"
"FAPP-cpupa","Thread","0","0","26","packB","1","840","15069312","273477333","475744","0","0","657694","0","0","2119236","0"
"FAPP-cpupa","Thread","0","0","27","packB","1","840","15052096","273065920","428591","0","0","674436","0","0","2042744","0"
"FAPP-cpupa","Thread","0","0","28","packB","1","840","15051392","273553673","522979","0","0","707287","0","0","2124114","0"
"FAPP-cpupa","Thread","0","0","29","packB","1","840","15106848","274351289","434031","0","0","713550","0","0","2045003","0"
"FAPP-cpupa","Thread","0","0","30","packB","1","840","15109056","274268859","477431","0","0","707466","0","0","2106716","0"
"FAPP-cpupa","Thread","0","0","31","packB","1","840","15111552","274234329","537898","0","0","712890","0","0","2174829","0"
"FAPP-cpupa","Thread","0","0","32","packB","1","840","15096896","274244958","466711","0","0","674366","0","0","2131220","0"
"FAPP-cpupa","Thread","0","0","33","packB","1","840","15036256","272072229","402176","0","0","682610","0","0","2053505","0"
"FAPP-cpupa","Thread","0","0","34","packB","1","840","15035200","272484190","442055","0","0","671672","0","0","2082097","0"
"FAPP-cpupa","Thread","0","0","35","packB","1","840","15128064","274188496","521482","0","0","670662","0","0","2178552","0"
"FAPP-cpupa","Thread","0","0","36","packB","1","840","15039392","272752694","503596","0","0","659490","0","0","2089770","0"
"FAPP-cpupa","Thread","0","0","37","packB","1","840","15041024","273130713","473841","0","0","661126","0","0","2089854","0"
"FAPP-cpupa","Thread","0","0","38","packB","1","840","15059392","273486030","464087","0","0","657028","0","0","2137263","0"
"FAPP-cpupa","Thread","0","0","39","packB","1","840","15108512","273899748","413728","0","0","667584","0","0","2018009","0"
"FAPP-cpupa","Thread","0","0","40","packB","1","840","15015488","272144415","526301","0","0","722248","0","0","2101005","0"
"FAPP-cpupa","Thread","0","0","41","packB","1","840","15055808","273064972","442092","0","0","731402","0","0","2050454","0"
"FAPP-cpupa","Thread","0","0","42","packB","1","840","15059072","272933610","493867","0","0","733094","0","0","2136367","0"
"FAPP-cpupa","Thread","0","0","43","packB","1","840","15075456","273178881","541387","0","0","738324","0","0","2176557","0"
"FAPP-cpupa","Thread","0","0","44","packB","1","840","15057184","272941618","472421","0","0","713778","0","0","2094943","0"
"FAPP-cpupa","Thread","0","0","45","packB","1","840","15145248","274101184","413167","0","0","714216","0","0","2055146","0"
"FAPP-cpupa","Thread","0","0","46","packB","1","840","15084896","272656303","472658","0","0","718214","0","0","2039499","0"
"FAPP-cpupa","Thread","0","0","47","packB","1","840","15134368","273674727","534369","0","0","720204","0","0","2111857","0"
